Link_ID in VISSIM,Length(km),Green_ratio,Lanes
1862,0.151,0.17,1
1863,0.503,1.0,3
1864,0.381,1.0,3
1865,0.212,1.0,3
1866,0.152,0.17,1
1867,0.152,0.33,2
1868,0.341,1.0,3
1869,0.157,0.33,2
1870,0.155,0.17,1
1871,0.493,1.0,3
1872,0.142,1.0,3
1873,0.093,1.0,3
1874,0.159,0.33,2
1875,0.158,0.17,1
1876,0.203,1.0,3
1877,0.062,1.0,1
1878,0.061,1.0,1
1879,0.035,1.0,1
1880,0.14,1.0,3
1881,0.151,0.33,2
1882,0.151,0.17,1
1883,0.511,1.0,3
1884,0.398,1.0,3
1885,0.238,1.0,3
1886,0.152,0.17,1
1887,0.152,0.33,2
1888,0.365,1.0,3
1889,0.157,0.33,2
1890,0.155,0.17,1
1891,0.524,1.0,3
1892,0.28,1.0,3
1893,0.117,1.0,3
1894,0.159,0.33,2
1895,0.158,0.17,1
1896,0.039,1.0,1
1897,0.102,1.0,1
1898,0.102,1.0,1
1899,0.192,1.0,1
1900,0.188,0.33,1
1901,0.179,0.36,1
1902,0.187,1.0,1
1903,0.14,1.0,1
1904,0.138,0.36,1
1905,0.118,0.36,1
1906,0.119,1.0,1
1907,0.36,0.33,1
1908,0.365,1.0,1
1909,0.356,1.0,3
1910,0.151,0.33,2
1911,0.151,0.17,1
1912,0.514,1.0,3
1913,0.177,1.0,3
1914,0.231,1.0,3
1915,0.152,0.17,1
1916,0.152,0.33,2
1917,0.341,1.0,3
1918,0.157,0.33,2
1919,0.155,0.17,1
1920,0.493,1.0,3
1921,0.062,1.0,3
1922,0.046,1.0,3
1923,0.159,0.33,2
1924,0.158,0.17,1
1925,0.203,1.0,3
1926,0.062,1.0,1
1927,0.061,1.0,1
1928,0.201,1.0,1
1929,0.14,1.0,3
1930,0.151,0.33,2
1931,0.151,0.17,1
1932,0.511,1.0,3
1933,0.382,1.0,3
1934,0.217,1.0,3
1935,0.152,0.17,1
1936,0.152,0.33,2
1937,0.11,1.0,3
1938,0.157,0.33,2
1939,0.155,0.17,1
1940,0.224,1.0,3
1941,0.083,1.0,3
1942,0.033,1.0,3
1943,0.159,0.33,2
1944,0.158,0.17,1
1945,0.207,1.0,1
1946,0.043,1.0,1
1947,0.042,1.0,1
1948,0.11,0.67,3
1949,0.211,0.67,3
1950,0.355,1.0,1
1951,0.343,1.0,1
1952,0.086,0.36,1
1953,0.114,1.0,1
1954,0.086,1.0,1
1955,0.113,1.0,1
1956,0.037,1.0,1
1957,0.037,1.0,1
1958,0.044,1.0,1
1959,0.044,1.0,1
1996,0.349,1.0,3
1997,0.151,0.33,2
1998,0.151,0.17,1
1999,0.503,1.0,3
2000,0.375,1.0,3
2001,0.212,1.0,3
2002,0.152,0.17,1
2003,0.152,0.33,2
2004,0.341,1.0,3
2005,0.157,0.33,2
2006,0.155,0.17,1
2007,0.493,1.0,3
2008,0.142,1.0,3
2009,0.093,1.0,3
2010,0.159,0.33,2
2011,0.158,0.17,1
2012,0.203,1.0,3
2013,0.062,1.0,1
2014,0.061,1.0,1
2015,0.035,1.0,1
2016,0.14,1.0,3
2017,0.151,0.33,2
2018,0.151,0.17,1
2019,0.511,1.0,3
2020,0.383,1.0,3
2021,0.212,1.0,3
2022,0.152,0.17,1
2023,0.152,0.33,2
2024,0.346,1.0,3
2025,0.157,0.33,2
2026,0.155,0.17,1
2027,0.503,1.0,3
2028,0.28,1.0,3
2029,0.117,1.0,3
2030,0.159,0.33,2
2031,0.158,0.17,1
2032,0.039,1.0,1
2033,0.102,1.0,1
2034,0.102,1.0,1
2035,0.192,1.0,1
2036,0.188,0.33,1
2037,0.179,0.5,1
2038,0.187,1.0,1
2039,0.14,1.0,1
2040,0.138,0.5,1
2041,0.118,0.5,1
2042,0.119,1.0,1
2043,0.36,0.33,1
2044,0.365,1.0,1
2045,0.095,1.0,3
2046,0.151,0.33,2
2047,0.151,0.17,1
2048,0.238,1.0,3
2049,0.177,1.0,3
2050,0.231,1.0,3
2051,0.152,0.17,1
2052,0.152,0.33,2
2053,0.341,1.0,3
2054,0.157,0.33,2
2055,0.155,0.17,1
2056,0.493,1.0,3
2057,0.058,1.0,3
2058,0.048,1.0,3
2059,0.159,0.33,2
2060,0.158,0.17,1
2061,0.203,1.0,3
2062,0.062,1.0,1
2063,0.061,1.0,1
2064,0.201,1.0,1
2065,0.14,1.0,3
2066,0.151,0.33,2
2067,0.151,0.17,1
2068,0.511,1.0,3
2069,0.382,1.0,3
2070,0.217,1.0,3
2071,0.152,0.17,1
2072,0.152,0.33,2
2073,0.346,1.0,3
2074,0.157,0.33,2
2075,0.155,0.17,1
2076,0.503,1.0,3
2077,0.08,1.0,3
2078,0.041,1.0,3
2079,0.159,0.33,2
2080,0.156,0.17,1
2081,0.207,1.0,1
2082,0.06,1.0,1
2083,0.06,1.0,1
2084,0.11,0.67,3
2085,0.211,0.67,3
2086,0.188,1.0,1
2087,0.031,1.0,1
2088,0.086,0.5,1
2089,0.114,1.0,1
2090,0.086,1.0,1
2091,0.113,1.0,1
2159,0.015,1.0,3
2160,0.151,0.33,2
2161,0.151,0.17,1
2162,0.283,1.0,3
2163,0.306,1.0,2
2164,0.143,1.0,2
2165,0.152,0.17,1
2166,0.152,0.33,1
2167,0.043,1.0,3
2168,0.157,0.33,2
2169,0.155,0.17,1
2170,0.199,1.0,3
2171,0.221,1.0,2
2172,0.138,1.0,2
2173,0.159,0.33,1
2174,0.158,0.17,1
2175,0.148,1.0,3
2176,0.062,1.0,1
2177,0.061,1.0,1
2286,0.03,1.0,2
2287,0.06,0.27,1
2288,0.128,1.0,2
2289,0.062,0.27,1
2562,0.061,0.36,1
2563,0.095,1.0,2
2564,0.198,1.0,2
2565,0.068,0.36,1
2566,0.261,0.36,1
2567,0.264,1.0,1
2613,0.072,0.36,1
2615,0.22,1.0,1
2653,0.35,1.0,3
2654,0.151,0.33,2
2655,0.151,0.17,1
2656,0.508,1.0,3
2657,0.13,1.0,3
2658,0.151,1.0,3
2659,0.152,0.17,1
2660,0.152,0.33,2
2661,0.341,1.0,3
2662,0.157,0.33,2
2663,0.155,0.17,1
2664,0.493,1.0,3
