Link_ID in VISSIM,Length(km),Green_ratio,Lanes
10127,0.012,1.0,1
10128,0.007,1.0,1
10129,0.005,1.0,1
10130,0.01,1.0,1
10131,0.007,1.0,1
10132,0.012,1.0,1
10133,0.006,1.0,1
10134,0.013,1.0,1
10135,0.012,1.0,1
10136,0.012,1.0,1
10137,0.006,1.0,1
10138,0.012,1.0,1
10139,0.011,1.0,1
10140,0.005,1.0,1
10141,0.012,1.0,1
10142,0.005,1.0,1
10143,0.012,1.0,1
10144,0.003,,1
10145,0.011,1.0,1
10146,0.008,1.0,1
10147,0.006,1.0,1
10148,0.005,1.0,1
10149,0.005,,1
10150,0.005,1.0,1
10151,0.005,1.0,1
10152,0.009,,1
10153,0.009,,1
10154,0.007,,1
10155,0.009,,1
10156,0.007,,1
10157,0.009,1.0,1
10158,0.009,,1
10159,0.009,,1
10160,0.007,1.0,1
10161,0.008,1.0,1
10162,0.007,1.0,1
10163,0.005,1.0,1
10164,0.01,1.0,1
10165,0.007,1.0,1
10166,0.012,1.0,1
10167,0.006,1.0,1
10168,0.013,1.0,1
10169,0.012,1.0,1
10170,0.012,1.0,1
10171,0.006,1.0,1
10172,0.012,1.0,1
10173,0.011,1.0,1
10174,0.005,1.0,1
10175,0.012,1.0,1
10176,0.005,1.0,1
10177,0.012,1.0,1
10178,0.007,1.0,1
10179,0.005,1.0,1
10180,0.01,1.0,1
10181,0.007,1.0,1
10182,0.012,1.0,1
10183,0.006,1.0,1
10184,0.013,1.0,1
10185,0.012,1.0,1
10186,0.012,1.0,1
10187,0.006,1.0,1
10188,0.012,1.0,1
10189,0.011,1.0,1
10190,0.005,1.0,1
10191,0.012,1.0,1
10192,0.005,1.0,1
10193,0.012,1.0,1
10194,0.003,,1
10195,0.011,1.0,1
10196,0.008,1.0,1
10197,0.006,1.0,1
10198,0.007,1.0,1
10199,0.005,1.0,1
10200,0.01,1.0,1
10201,0.007,1.0,1
10202,0.012,1.0,1
10203,0.006,1.0,1
10204,0.013,1.0,1
10205,0.012,1.0,1
10206,0.012,1.0,1
10207,0.006,1.0,1
10208,0.012,1.0,1
10209,0.011,1.0,1
10210,0.005,1.0,1
10211,0.012,1.0,1
10212,0.005,1.0,1
10213,0.012,1.0,1
